Weight Total;Axis1R;Axis1L;Axis2R;Axis2L;Axis3R;Axis3L;Axis4R;Axis4L;Axis5R;Axis5L
31680;2952;2952;4137;4137;2799;2799;2943;2943;3009;3009
31914;3009;3009;4164;4164;2799;2799;2949;2949;3036;3036
31644;2955;2955;4137;4137;2796;2796;2928;2928;3006;3006
31698;2991;2991;4137;4137;2775;2775;2931;2931;3015;3015
31986;3006;3006;4176;4176;2808;2808;2958;2958;3045;3045
31968;2970;2970;4176;4176;2829;2829;2970;2970;3039;3039
31656;2955;2955;4134;4134;2796;2796;2940;2940;3003;3003
31776;2988;2988;4152;4152;2784;2784;2937;2937;3027;3027
31854;2955;2955;4164;4164;2823;2823;2955;2955;3030;3030
31932;3009;3009;4170;4170;2799;2799;2949;2949;3039;3039
31932;2961;2961;4176;4176;2829;2829;2964;2964;3036;3036
31620;2979;2979;4125;4125;2778;2778;2925;2925;3003;3003
32034;2979;2979;4194;4194;2832;2832;2967;2967;3045;3045
32070;3000;3000;4185;4185;2823;2823;2973;2973;3054;3054
32046;3003;3003;4188;4188;2814;2814;2964;2964;3054;3054
32058;3003;3003;4185;4185;2823;2823;2970;2970;3048;3048
31998;2979;2979;4182;4182;2829;2829;2967;2967;3042;3042
31644;2952;2952;4143;4143;2790;2790;2937;2937;3000;3000
31620;2982;2982;4128;4128;2757;2757;2928;2928;3015;3015
31848;3000;3000;4155;4155;2790;2790;2946;2946;3033;3033
31962;2973;2973;4182;4182;2826;2826;2961;2961;3039;3039
31566;2964;2964;4125;4125;2772;2772;2925;2925;2997;2997
31752;2994;2994;4143;4143;2781;2781;2934;2934;3024;3024
32004;3009;3009;4176;4176;2811;2811;2961;2961;3045;3045
32064;2988;2988;4188;4188;2826;2826;2979;2979;3051;3051
31680;2943;2943;4146;4146;2802;2802;2940;2940;3009;3009
31716;2988;2988;4140;4140;2775;2775;2934;2934;3021;3021
32058;2997;2997;4182;4182;2823;2823;2973;2973;3054;3054
31848;2958;2958;4164;4164;2817;2817;2955;2955;3030;3030
31680;2949;2949;4146;4146;2802;2802;2937;2937;3006;3006
31656;2952;2952;4143;4143;2796;2796;2937;2937;3000;3000
31710;2952;2952;4146;4146;2805;2805;2937;2937;3015;3015
31836;2958;2958;4164;4164;2817;2817;2955;2955;3024;3024
31920;2970;2970;4164;4164;2826;2826;2961;2961;3039;3039
32058;2988;2988;4182;4182;2832;2832;2973;2973;3054;3054
32046;2991;2991;4188;4188;2820;2820;2970;2970;3054;3054
31740;2994;2994;4143;4143;2775;2775;2937;2937;3021;3021
31542;2967;2967;4125;4125;2769;2769;2913;2913;2997;2997
31800;2952;2952;4158;4158;2811;2811;2955;2955;3024;3024
32004;3003;3003;4182;4182;2814;2814;2952;2952;3051;3051
31572;2973;2973;4122;4122;2772;2772;2919;2919;3000;3000
31926;2961;2961;4182;4182;2820;2820;2964;2964;3036;3036
31770;3000;3000;4152;4152;2784;2784;2937;2937;3012;3012
31716;2949;2949;4146;4146;2805;2805;2946;2946;3012;3012
31884;2985;2985;4164;4164;2799;2799;2952;2952;3042;3042
31644;2985;2985;4131;4131;2769;2769;2925;2925;3012;3012
31548;2961;2961;4122;4122;2778;2778;2916;2916;2997;2997
31602;2952;2952;4128;4128;2790;2790;2928;2928;3003;3003
31698;2949;2949;4155;4155;2799;2799;2943;2943;3003;3003
31764;2952;2952;4152;4152;2808;2808;2949;2949;3021;3021
31770;2955;2955;4158;4158;2808;2808;2946;2946;3018;3018
31956;2967;2967;4188;4188;2823;2823;2964;2964;3036;3036
32004;3003;3003;4170;4170;2817;2817;2964;2964;3048;3048
31764;2991;2991;4146;4146;2784;2784;2934;2934;3027;3027
31584;2949;2949;4128;4128;2790;2790;2928;2928;2997;2997
31962;2973;2973;4176;4176;2826;2826;2964;2964;3042;3042
32046;2991;2991;4191;4191;2817;2817;2970;2970;3054;3054
31896;3003;3003;4161;4161;2799;2799;2949;2949;3036;3036
31560;2973;2973;4122;4122;2772;2772;2916;2916;2997;2997
31908;2964;2964;4176;4176;2820;2820;2958;2958;3036;3036
31992;2976;2976;4182;4182;2826;2826;2970;2970;3042;3042
31980;2976;2976;4176;4176;2826;2826;2970;2970;3042;3042
32076;3000;3000;4188;4188;2826;2826;2973;2973;3051;3051
31902;3009;3009;4158;4158;2799;2799;2949;2949;3036;3036
31668;2982;2982;4134;4134;2775;2775;2928;2928;3015;3015
31590;2961;2961;4125;4125;2781;2781;2928;2928;3000;3000
31698;2952;2952;4146;4146;2802;2802;2940;2940;3009;3009
31908;2964;2964;4170;4170;2826;2826;2961;2961;3033;3033
32094;2991;2991;4197;4197;2832;2832;2973;2973;3054;3054
31908;3009;3009;4158;4158;2799;2799;2949;2949;3039;3039
31776;2955;2955;4152;4152;2814;2814;2952;2952;3015;3015
31878;3009;3009;4155;4155;2796;2796;2949;2949;3030;3030
31800;2958;2958;4158;4158;2811;2811;2949;2949;3024;3024
31884;3009;3009;4161;4161;2784;2784;2949;2949;3039;3039
31710;2958;2958;4140;4140;2802;2802;2940;2940;3015;3015
31902;3009;3009;4164;4164;2793;2793;2952;2952;3033;3033
31776;2955;2955;4155;4155;2811;2811;2943;2943;3024;3024
32022;3009;3009;4182;4182;2811;2811;2961;2961;3048;3048
31626;2961;2961;4134;4134;2787;2787;2931;2931;3000;3000
32070;3003;3003;4191;4191;2826;2826;2976;2976;3039;3039
31716;2994;2994;4137;4137;2778;2778;2931;2931;3018;3018
31752;2952;2952;4149;4149;2808;2808;2946;2946;3021;3021
32052;2985;2985;4191;4191;2829;2829;2973;2973;3048;3048
31722;2997;2997;4137;4137;2775;2775;2931;2931;3021;3021
32082;2982;2982;4188;4188;2838;2838;2979;2979;3054;3054
32016;3012;3012;4176;4176;2808;2808;2961;2961;3051;3051
31956;3006;3006;4173;4173;2802;2802;2955;2955;3042;3042
31980;3012;3012;4170;4170;2805;2805;2958;2958;3045;3045
31974;3009;3009;4170;4170;2805;2805;2958;2958;3045;3045
31968;3012;3012;4158;4158;2808;2808;2958;2958;3048;3048
31914;2994;2994;4167;4167;2802;2802;2955;2955;3039;3039
31902;3009;3009;4161;4161;2796;2796;2946;2946;3039;3039
31686;2988;2988;4137;4137;2775;2775;2925;2925;3018;3018
31602;2973;2973;4125;4125;2775;2775;2925;2925;3003;3003
31596;2973;2973;4125;4125;2778;2778;2919;2919;3003;3003
31662;2958;2958;4140;4140;2793;2793;2934;2934;3006;3006
31998;2973;2973;4179;4179;2835;2835;2967;2967;3045;3045
32052;3000;3000;4185;4185;2820;2820;2970;2970;3051;3051
31968;3012;3012;4155;4155;2808;2808;2958;2958;3051;3051
31920;2997;2997;4164;4164;2802;2802;2952;2952;3045;3045
